CVE,Date,CWE,Severity
CVE-2025-26596,2025-02-25T16:15:38.603,CWE-787,7.8
CVE-2025-0514,2025-02-25T22:15:14.887,CWE-20,7.2
CVE-2025-22881,2025-02-26T08:14:25.137,CWE-122,7.8
CVE-2025-25796,2025-02-26T15:15:27.620,CWE-77,5.1
CVE-2025-20119,2025-02-26T17:15:22.883,CWE-362,5.7
CVE-2025-21717,2025-02-27T02:15:15.373,CWE-125,7.1
CVE-2025-21734,2025-02-27T03:15:14.030,CWE-787,7.8
CVE-2025-21751,2025-02-27T03:15:15.760,CWE-416,7.8
CVE-2025-21768,2025-02-27T03:15:17.480,CWE-401,5.5
CVE-2025-21785,2025-02-27T03:15:19.350,CWE-787,7.8
CVE-2025-1717,2025-02-27T08:15:31.130,CWE-288;CWE-306,8.1
CVE-2025-1741,2025-02-27T16:15:38.930,CWE-20;CWE-502,4.7
CVE-2025-27399,2025-02-27T18:15:30.380,CWE-200;CWE-285,5.3
CVE-2025-21812,2025-02-27T20:16:03.783,CWE-416,7.8
CVE-2025-26325,2025-02-27T22:15:39.057,CWE-434,9.8
CVE-2025-1511,2025-02-28T06:15:25.750,CWE-79,6.1
CVE-2025-22273,2025-02-28T13:15:27.927,CWE-770,9.3
CVE-2025-24316,2025-02-28T17:15:16.790,CWE-213,5.3
CVE-2025-27413,2025-02-28T21:15:27.820,CWE-22,4.9
CVE-2025-1459,2025-03-01T07:15:10.980,CWE-79,5.4
CVE-2025-1807,2025-03-02T00:15:34.160,CWE-74;CWE-80,3.5
CVE-2025-1820,2025-03-02T17:15:11.677,CWE-74;CWE-89,8.8
CVE-2025-25950,2025-03-03T01:15:11.533,CWE-284,8.1
CVE-2025-20650,2025-03-03T03:15:09.840,CWE-787,6.8
CVE-2025-1859,2025-03-03T09:15:39.037,CWE-74;CWE-89,9.8
CVE-2025-23425,2025-03-03T14:15:34.600,CWE-79,7.1
CVE-2025-23480,2025-03-03T14:15:37.060,CWE-79,6.5
CVE-2025-23519,2025-03-03T14:15:39.487,CWE-79,7.1
CVE-2025-23575,2025-03-03T14:15:42.583,CWE-79,7.1
CVE-2025-23670,2025-03-03T14:15:44.970,CWE-79,7.1
CVE-2025-23829,2025-03-03T14:15:47.417,CWE-79,6.5
CVE-2025-25087,2025-03-03T14:15:49.920,CWE-79,7.1
